,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
3158,2021-05-13 00:00:00,1.7047400000000001,1.70556,1.7025299999999999,1.70505,1.70505,1.70717,1.70453,1.70524,1.70629,1.70145,43.29
3159,2021-05-13 01:00:00,1.70505,1.70594,1.70473,1.70534,1.70534,1.7071,1.70476,1.70526,1.7062,1.70163,44.48
3160,2021-05-13 02:00:00,1.70534,1.70549,1.70418,1.7043599999999999,1.70436,1.70699,1.70465,1.70512,1.70602,1.70189,41.31
3161,2021-05-13 03:00:00,1.70427,1.70441,1.7033,1.7039900000000001,1.70399,1.70688,1.70446,1.70495,1.70583,1.70213,40.15
3162,2021-05-13 04:00:00,1.70404,1.70432,1.7035200000000001,1.70384,1.70384,1.70676,1.70428,1.70478,1.70564,1.70236,39.66
3163,2021-05-13 05:00:00,1.70392,1.7042199999999998,1.70317,1.7042199999999998,1.70422,1.70666,1.70427,1.70469,1.7055,1.70257,41.6
3164,2021-05-13 06:00:00,1.7042199999999998,1.70448,1.70378,1.7039499999999999,1.70395,1.70655,1.70418,1.70458,1.70535,1.70278,40.6
3165,2021-05-13 07:00:00,1.7039499999999999,1.70452,1.7037200000000001,1.70432,1.70432,1.70646,1.70422,1.70454,1.70526,1.70297,42.63
3166,2021-05-13 08:00:00,1.7043599999999999,1.70545,1.7038799999999998,1.7048999999999999,1.7049,1.7064,1.70441,1.70459,1.70522,1.70314,45.76
3167,2021-05-13 09:00:00,1.7048999999999999,1.70588,1.70328,1.70369,1.70369,1.7063,1.70421,1.70445,1.70508,1.70594,40.76
3168,2021-05-13 10:00:00,1.7037,1.70689,1.7037,1.70647,1.70647,1.7063,1.70485,1.70476,1.70521,1.70328,53.36
3169,2021-05-13 11:00:00,1.70648,1.7076,1.70308,1.7032699999999998,1.70327,1.70618,1.7044,1.70453,1.70502,1.7076,42.23
3170,2021-05-13 12:00:00,1.7032699999999998,1.70346,1.70126,1.70197,1.70197,1.70602,1.70371,1.70414,1.70473,1.7076,38.7
3171,2021-05-13 13:00:00,1.70194,1.70417,1.70075,1.7035,1.7035,1.70592,1.70365,1.70404,1.70462,1.7076,44.57
3172,2021-05-13 14:00:00,1.70351,1.70397,1.70206,1.70254,1.70254,1.70579,1.70333,1.70381,1.70442,1.70719,41.86
3173,2021-05-13 15:00:00,1.70254,1.70432,1.7021199999999999,1.70224,1.70224,1.70565,1.70302,1.70357,1.70421,1.7068,41.02
